Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
194,Glascontainer,48155 Münster - Mauritz,Wolbecker Str. 296 (Parkpl.),,51.951363,7.669298,2024-06-10
195,Glascontainer,48155 Münster - Mauritz,Wolbecker Str./ Clara-Ratzka-Weg,,51.951370,7.669279,2024-06-10
196,Glascontainer,48155 Münster - Mauritz,"Wolbecker Straße (Freibad Stapelskotten, Parkplatz Gaststätte)",,51.946774,7.690635,2024-06-10
197,Glascontainer,48155 Münster - Mauritz,Zum Guten Hirten (v.d. Kanalbrücke),,51.962791,7.663968,2024-06-10
198,Glascontainer,48163 Münster - Mecklenbeck,Brockmannstraße (hinter Kirche),,51.930538,7.579145,2024-06-10
199,Glascontainer,48163 Münster - Mecklenbeck,Christop-Bernhard-Str/ Spielplatz,,51.930477,7.574136,2024-06-10
200,Glascontainer,48163 Münster - Mecklenbeck,Echelmeyerstraße (Parkpl. Bildungsz.),,51.935619,7.589543,2024-06-10
201,Glascontainer,48163 Münster - Mecklenbeck,Meyerbeerstraße 71,,51.925892,7.576723,2024-06-10
202,Glascontainer,48163 Münster - Mecklenbeck,Ossenkampstiege/Boeselagerstraße,,51.936481,7.596457,2024-06-10
203,Glascontainer,48163 Münster - Mecklenbeck,RH Mecklenbeck,,51.930542,7.554598,2024-06-10
204,Glascontainer,48163 Münster - Mecklenbeck,Rockbusch/Kleibusch,,51.920006,7.575841,2024-06-10
205,Glascontainer,48163 Münster - Mecklenbeck,Schürbusch gegenüber Haus Nr. 19,,51.929585,7.584455,2024-06-10
206,Glascontainer,48161 Münster - Nienberge,Am Baumberger Hof/Hägerstraße,,52.001541,7.557883,2024-06-10
207,Glascontainer,48161 Münster - Nienberge,Feldstiege (Parkpl. vor Sportzentrum),,51.999985,7.549464,2024-06-10
208,Glascontainer,48161 Münster - Nienberge,Hermann-Hesse-Str./Hülshoffstraße,,51.995483,7.553368,2024-06-10
209,Glascontainer,48161 Münster - Nienberge,Kirmstr. gegenüber Haus Nr. 23,,51.998016,7.558968,2024-06-10
210,Glascontainer,48161 Münster - Nienberge,Recyclinghof Waltruper Weg,,51.993042,7.543488,2024-06-10
211,Glascontainer,48161 Münster - Nienberge,Schmitthausweg 4,,52.022331,7.561598,2024-06-10
212,Glascontainer,48161 Münster - Nienberge,Sebastianstraße/ Plettendorfstr. (Ev. Kirche),,51.996719,7.556325,2024-06-10
213,Glascontainer,48161 Münster - Nienberge,Waltruper Weg,,51.994022,7.547929,2024-06-10
214,Glascontainer,48161 Münster - Roxel,Autobahnraststätte Ost,,51.941013,7.551159,2024-06-10
215,Glascontainer,48161 Münster - Roxel,Autobahnraststätte West,,51.945625,7.548377,2024-06-10
216,Glascontainer,48161 Münster - Roxel,Dorffeldstraße (ggü. Haus Nr. 32),,51.950661,7.537469,2024-06-10
217,Glascontainer,48161 Münster - Roxel,Pienersallee (gegenü. Haus Nr. 26),,51.951305,7.530418,2024-06-10
218,Glascontainer,48161 Münster - Roxel,"Recyclinghof Roxel, Nottulner Landweg",,51.947376,7.535186,2024-06-10
219,Glascontainer,48161 Münster - Roxel,Schelmenstiege (Parkpl. vor der BVS),,51.954731,7.541640,2024-06-10
220,Glascontainer,48161 Münster - Roxel,Schulte-Hermann-Str. (Zufahrt z. Tiefgarage),,51.953308,7.533664,2024-06-10
221,Glascontainer,48161 Münster - Roxel,Tilbecker Straße (Parkpl. Hallenbad),,51.954082,7.527064,2024-06-10
222,Glascontainer,48161 Münster - Roxel,Wenningweg (neben dem Klärwerk),,51.949280,7.526384,2024-06-10
223,Glascontainer,48149 Münster - Sentrup,Busso-Peus-Straße,,51.968987,7.588885,2024-06-10
224,Glascontainer,48149 Münster - Sentrup,Rudolf-Harbig-Weg,,51.975273,7.591884,2024-06-10
225,Glascontainer,48149 Münster - Sentrup,"Rudolf-Harbig-Weg (Studentenw., 26-46)",,51.972748,7.594686,2024-06-10
226,Glascontainer,48149 Münster - Sentrup,Schmeddingstr. (gegenüber Haus Nr. 50),,51.960724,7.589834,2024-06-10
227,Glascontainer,48149 Münster - Sentrup,Sentruper Str. (Parkplatz Mühlenhof),,51.950104,7.596748,2024-06-10
228,Glascontainer,48149 Münster - Sentrup,Sentruper Str. (vor Sportzentrum),,51.955223,7.601379,2024-06-10
229,Glascontainer,48157 Münster - Sprakel,Bahnhof Sprakel,,52.042213,7.619248,2024-06-10
230,Glascontainer,48159 Münster - Sprakel,Dreilinden/Nienberger Straße,,52.041821,7.615412,2024-06-10
231,Glascontainer,48157 Münster - Sprakel,Schlusenweg,,52.032299,7.619631,2024-06-10
232,Glascontainer,48147 Münster - Wienburg,Gartenstr. vor Haus Nr. 165-170,,51.976074,7.636142,2024-06-10
233,Glascontainer,48147 Münster - Wienburg,Hoher Heckenweg 170/Sibeliusstraße,,51.982262,7.645751,2024-06-10
234,Glascontainer,48147 Münster - Wienburg,Holsteiner Straße/Piusallee (Wiewel-Markt),,51.971451,7.640960,2024-06-10
235,Glascontainer,48147 Münster - Wienburg,Jahnstraße 26,,51.975925,7.616317,2024-06-10
236,Glascontainer,48147 Münster - Wienburg,Kanalstraße / Lublinring (Parkplatz) Unterflur,,51.972527,7.632902,2024-06-10
