Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
119,Glascontainer,48155 Münster - Gremmendorf,Boelckeweg (am Bahndamm),,51.941086,7.651419,2024-06-10
120,Glascontainer,48167 Münster - Gremmendorf,Erbdrostenweg/Anton-Knubel-Weg,,51.931797,7.666986,2024-06-10
121,Glascontainer,48167 Münster - Gremmendorf,Frankenweg,,51.920677,7.668984,2024-06-10
122,Glascontainer,48155 Münster - Gremmendorf,Fridtjof-Nansen-Weg 10,,51.933544,7.655370,2024-06-10
123,Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg 34 (nähe Bahnübergang),,51.929703,7.672285,2024-06-10
124,Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg/ Böddingheideweg (ehem. Zwi-Schulmann-Weg),,51.932178,7.681217,2024-06-10
125,Glascontainer,48155 Münster - Gremmendorf,Loddenheide 2 / Egbert-Snoek-Str. Marktkauf (Parkplatz),,51.938759,7.645896,2024-06-10
126,Glascontainer,48155 Münster - Gremmendorf,Recyclinghof Eulerstraße,,51.938850,7.641551,2024-06-10
127,Glascontainer,48155 Münster - Hafen,Am Hawerkamp 39,,51.944805,7.638512,2024-06-10
128,Glascontainer,48157 Münster - Handorf,An den Eichen (Parkstreifen),,52.002293,7.715920,2024-06-10
129,Glascontainer,48157 Münster - Handorf,Heriburgstraße (Parkplatz Hallenbad),,51.989536,7.705504,2024-06-10
130,Glascontainer,48157 Münster - Handorf,Hobbeltstraße/Handorfer Straße,,51.981728,7.704549,2024-06-10
131,Glascontainer,48157 Münster - Handorf,Hugo-Pottebaum-Platz,,51.987602,7.697667,2024-06-10
132,Glascontainer,48157 Münster - Handorf,Kirschgarten/Hobbeltstr. (Sportplatz),,51.987438,7.708974,2024-06-10
133,Glascontainer,48157 Münster - Handorf,"Krüsbreede, Friedhof",,51.986298,7.701195,2024-06-10
134,Glascontainer,48157 Münster - Handorf,Lützowstraße (Soldatenheim gegenü. Bushaltestelle),,51.999031,7.716472,2024-06-10
135,Glascontainer,48157 Münster - Handorf,Mariendorfer Str. (Haus Nr. 35),,51.987469,7.668847,2024-06-10
136,Glascontainer,48157 Münster - Handorf,Mariendorfer Str. / Im Sundern (Straßenrand),,51.988544,7.673992,2024-06-10
137,Glascontainer,48157 Münster - Handorf,Recyclinghof Handorf Panzerstraße,,51.989388,7.713545,2024-06-10
138,Glascontainer,48157 Münster - Handorf,Sudmühlenstr./Havichhorststr.,,51.997078,7.681153,2024-06-10
139,Glascontainer,48165 Münster - Hiltrup,Adolf-Wentrup-Weg/Asternweg,,51.902493,7.668835,2024-06-10
140,Glascontainer,48165 Münster - Hiltrup,Am Roggenkamp,,51.903996,7.673036,2024-06-10
141,Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Langestraße,,51.900467,7.634603,2024-06-10
142,Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Meesenstiege,,51.898232,7.624178,2024-06-10
143,Glascontainer,48165 Münster - Hiltrup,Beethovenstraße gegenüber Haus Nr. 4,,51.910000,7.648747,2024-06-10
144,Glascontainer,48165 Münster - Hiltrup,Burgwall/Linckensstraße,,51.906822,7.619626,2024-06-10
