Containertyp,Stadtteil,Standort,öffentlich,Wertstoffhof,Unterflurstandort,Sorten,Latitude,Longitude
Glascontainer,48167 Münster - Wolbeck,Am Steintor/Juffernkamp,ja,nein,nein,weiß/grün/braun,51.912006,7.728437
Glascontainer,48167 Münster - Wolbeck,Brandhoveweg (Parkplatz Hallenbad),ja,nein,nein,"grün, weiß/braun, weiß",51.915874,7.715109
Glascontainer,48167 Münster - Wolbeck,Dirk-von-Merveldt-Str. Ev.-Kirche,ja,nein,nein,"grün/braun, weiß",51.918667,7.726744
Glascontainer,48167 Münster - Wolbeck,Eschstraße 6,ja,nein,nein,"grün/braun, weiß",51.921391,7.726744
Glascontainer,48167 Münster - Wolbeck,Goldbrink (vor Haus Nr. 69),ja,nein,nein,weiß/grün/braun,51.922970,7.721637
Glascontainer,48167 Münster - Wolbeck,Hiltruper Str. 55,ja,nein,nein,"grün/braun, weiß",51.911495,7.717853
Glascontainer,48167 Münster - Wolbeck,Hofstr. (neben Feuerwehrgerätehaus),ja,nein,nein,"grün, weiß/braun, weiß",51.916927,7.734440
Glascontainer,48167 Münster - Wolbeck,Middeler Straße (K&amp;K),ja,nein,nein,"grün/braun, weiß",51.925724,7.724731
Glascontainer,48167 Münster - Wolbeck,Recyclinghof Eschstraße,ja,ja,nein,"grün/braun, weiß",51.918297,7.721005
Glascontainer,48167 Münster - Wolbeck,Zumbuschstr./Buxtrup,ja,nein,nein,"grün, weiß/braun, weiß",51.905758,7.720199
Datum,2024-11-28
