Containertyp,Stadtteil,Standort,öffentlich,Wertstoffhof,Unterflurstandort,Sorten,Latitude,Longitude
Glascontainer,48157 Münster - Handorf,Kirschgarten/Hobbeltstr. (Sportplatz),ja,nein,nein,"grün/braun, grün, weiß",51.987438,7.708974
Glascontainer,48157 Münster - Handorf,"Krüsbreede, Friedhof",ja,nein,nein,weiß/grün/braun,51.986298,7.701195
Glascontainer,48157 Münster - Handorf,Lützowstraße (Soldatenheim gegenü. Bushaltestelle),ja,nein,nein,weiß/grün/braun,51.999031,7.716472
Glascontainer,48157 Münster - Handorf,Mariendorfer Str. (Haus Nr. 35),ja,nein,nein,weiß/grün/braun,51.987469,7.668847
Glascontainer,48157 Münster - Handorf,Mariendorfer Str. / Im Sundern (Straßenrand),ja,nein,nein,weiß/grün/braun,51.988544,7.673992
Glascontainer,48157 Münster - Handorf,Recyclinghof Handorf Panzerstraße,ja,ja,nein,"grün/braun, weiß",51.989388,7.713545
Glascontainer,48157 Münster - Handorf,Sudmühlenstr./Havichhorststr.,ja,nein,nein,"grün/braun, weiß/grün, weiß",51.997078,7.681153
Glascontainer,48165 Münster - Hiltrup,Adolf-Wentrup-Weg/Asternweg,ja,nein,nein,"bunt, weiß",51.902493,7.668835
Glascontainer,48165 Münster - Hiltrup,Am Roggenkamp,ja,nein,nein,"bunt, weiß",51.903996,7.673036
Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Langestraße,ja,nein,nein,"bunt, weiß",51.900467,7.634603
Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Meesenstiege,ja,nein,nein,"bunt, weiß",51.898232,7.624178
Glascontainer,48165 Münster - Hiltrup,Beethovenstraße gegenüber Haus Nr. 4,ja,nein,nein,"bunt, weiß",51.910000,7.648747
Glascontainer,48165 Münster - Hiltrup,Burgwall/Linckensstraße,ja,nein,nein,"bunt, weiß",51.906822,7.619626
Glascontainer,48165 Münster - Hiltrup,Franz-Marc-Weg (Buswendeplatz),ja,nein,nein,"bunt, weiß",51.901039,7.666804
Glascontainer,48165 Münster - Hiltrup,"Glasuritstraße, Zufahrt zum Bahnhof",,,,,51.903767,7.654262
Glascontainer,48165 Münster - Hiltrup,Helene-Weigel-Weg (Parkplatz hinter E-Center),ja,nein,nein,"bunt, weiß",51.901825,7.623629
Glascontainer,48165 Münster - Hiltrup,Hoffmann-von-Fallersleben-Weg/Kortumweg,ja,nein,nein,"bunt, weiß",51.902592,7.634952
Glascontainer,48165 Münster - Hiltrup,"Hünenburg/Linckensstr., (Tenniscenter)",ja,nein,nein,"bunt, weiß",51.910946,7.623936
Glascontainer,48165 Münster - Hiltrup,Im Hain (ggü. Haus Nr. 35),ja,nein,nein,"bunt, weiß",51.912704,7.655836
Glascontainer,48165 Münster - Hiltrup,Kanalpromenade unter Brücke Osttor/ Föhrenweg,ja,nein,nein,"bunt, weiß",51.906296,7.656748
Glascontainer,48165 Münster - Hiltrup,Max-Winkelmann-Str. / Bergiusstraße (alter Bahnhof),ja,nein,nein,"bunt, weiß",51.903778,7.654245
Glascontainer,48165 Münster - Hiltrup,Merkureck/Hohe Geest,ja,nein,nein,"bunt, weiß",51.913910,7.634893
Glascontainer,48165 Münster - Hiltrup,Moränenstraße/Kardinalstr. (Markt),ja,nein,nein,"bunt, weiß",51.905052,7.642563
Glascontainer,48165 Münster - Hiltrup,Osttor (Parkplatz Stadion),ja,nein,nein,"bunt, weiß",51.906590,7.668780
Glascontainer,48165 Münster - Hiltrup,Recyclinghof Hansestraße/Glasuritstraße,ja,ja,nein,"bunt, weiß",51.895908,7.644838
Glascontainer,48165 Münster - Hiltrup,Westfalenstraße/Zum Roten Berge,ja,nein,nein,"bunt, weiß",51.898979,7.641050
Glascontainer,48165 Münster - Hiltrup,"Zum Hiltruper See (Ortsausgang, höhe Haus-Nr. 30)",ja,nein,nein,"bunt, weiß",51.903862,7.659473
Glascontainer,48165 Münster - Hiltrup,Zum Hiltruper See/Westfalenstraße (Parkplatz Hohe Ward),ja,nein,nein,"bunt, weiß",51.886429,7.650055
Glascontainer,48159 Münster - Kinderhaus,Brüningheide (Haus Nr. 111-121),ja,nein,nein,"grün/braun, weiß",52.000778,7.592439
Glascontainer,48159 Münster - Kinderhaus,Brüningheide 123 (Meinertzstr. ggü.),ja,nein,nein,weiß/grün/braun,52.000397,7.595122
Glascontainer,48159 Münster - Kinderhaus,Diesterwegstr./Meinertzstraße,ja,nein,nein,weiß/grün/braun,52.001865,7.599298
Glascontainer,48159 Münster - Kinderhaus,Diesterwegstr./Schmüllingstr. (Parkstr.),ja,nein,nein,weiß/grün/braun,52.000870,7.599377
Glascontainer,48159 Münster - Kinderhaus,Dreizehnerstraße/Grevener Straße,ja,nein,nein,"bunt, weiß",51.983723,7.611165
Glascontainer,48159 Münster - Kinderhaus,Janningsweg/Grevener Straße (Stadtauswärts),ja,nein,nein,"grün/braun, weiß",51.995136,7.612909
Glascontainer,48159 Münster - Kinderhaus,Josef-Beckmann-Str./Brüningheide,ja,nein,nein,"grün/braun, weiß",51.997406,7.598622
Glascontainer,48159 Münster - Kinderhaus,Josef-Beckmann-Str./Sprickmannstr.,ja,nein,nein,weiß/grün/braun,51.997375,7.597071
Glascontainer,48159 Münster - Kinderhaus,Kerstingskamp vor Nr. 24,ja,nein,nein,"grün, weiß/braun, weiß",51.988323,7.609817
Glascontainer,48159 Münster - Kinderhaus,Killingstr. Haus Nr. 15 gegenüber,ja,nein,nein,weiß/grün/braun,51.999340,7.594050
Glascontainer,48159 Münster - Kinderhaus,Rektoratsweg/Im Moorhock 54-36,ja,nein,nein,weiß/grün/braun,51.987228,7.607960
Glascontainer,48159 Münster - Kinderhaus,Sprickmannstr. (Haus Nr. 19 gegenüber),ja,nein,nein,weiß/grün/braun,51.998631,7.594129
Glascontainer,48159 Münster - Kinderhaus,Sprickmannstr. / Josef-Beckmann-Str. / Langeworth,ja,nein,nein,"grün/braun, weiß",51.997715,7.592207
Glascontainer,48159 Münster - Kinderhaus,Steinfurter Str. 104,ja,nein,nein,"bunt, weiß",51.974457,7.605184
Glascontainer,48159 Münster - Kinderhaus,Von Humboldt-Straße (vor Recyclinghof),ja,ja,nein,weiß/grün/braun,52.000240,7.604641
Glascontainer,48159 Münster - Kinderhaus,Von-Einem-Str./ Gasselstiege gegenüber Haus-Nr 182,ja,nein,nein,"bunt, weiß",51.982868,7.605937
Glascontainer,48159 Münster - Kinderhaus,Von-Humboldt-Str. 11/Kristiansandstr.,ja,nein,nein,"grün/braun, weiß",51.997746,7.603484
Glascontainer,48159 Münster - Kinderhaus,Westhoffstraße (Parkplatz REWE Markt),ja,nein,nein,"grün/braun, grün, weiß",51.993469,7.599206
Glascontainer,48145 Münster - Mauritz,Andreas-Hofer-Straße (OFD),ja,nein,nein,"bunt, weiß",51.958149,7.653021
Glascontainer,48155 Münster - Mauritz,August-Schepers-Straße/vor der Kanalbrücke Leinenpfad,ja,nein,nein,"bunt, weiß",51.953896,7.655171
Glascontainer,48145 Münster - Mauritz,Dieckstraße/Mecklenburger Straße,ja,nein,nein,"bunt, weiß",51.970932,7.649163
Glascontainer,48145 Münster - Mauritz,Hohenzollernring/Manfred-von-Richthofen-Str.,ja,nein,nein,"bunt, weiß",51.958385,7.647442
Glascontainer,48155 Münster - Mauritz,Manfred-von-Richthofen-Str./Merschkamp,ja,nein,nein,"bunt, weiß",51.955795,7.666448
Glascontainer,48145 Münster - Mauritz,Mauritz-Lindenweg (Hallenbad-Ost) Parkpl.,ja,nein,nein,"bunt, weiß",51.959148,7.658765
Glascontainer,48155 Münster - Mauritz,Mondstraße/Hans-Bredow-Weg,ja,nein,nein,"bunt, weiß",51.958359,7.676224
Glascontainer,48155 Münster - Mauritz,Mondstraße/Peter-Rosegger-Weg,ja,nein,nein,"bunt, weiß",51.949944,7.675664
Glascontainer,48155 Münster - Mauritz,Pleistermühlenweg (Klärwerk),ja,nein,nein,"bunt, weiß",51.962414,7.684070
Glascontainer,48155 Münster - Mauritz,Pleistermühlenweg (Recyclinghof),ja,ja,nein,"bunt, weiß",51.961880,7.684342
Glascontainer,48145 Münster - Mauritz,Pötterhoek/Cloppenburgstraße,ja,nein,nein,"bunt, weiß",51.972275,7.653685
Glascontainer,48145 Münster - Mauritz,Schiffahrter Damm 75,ja,nein,nein,"bunt, weiß",51.971226,7.656959
Glascontainer,48155 Münster - Mauritz,Schillerstraße /Ecke Ewaldistraße,ja,nein,nein,"bunt, weiß",51.952538,7.648145
Glascontainer,48145 Münster - Mauritz,Stiftsstraße,ja,nein,nein,"bunt, weiß",51.963406,7.649329
Glascontainer,48145 Münster - Mauritz,Von-der-Tinnen-Str./Sophienstr.,ja,nein,nein,"bunt, weiß",51.956608,7.648202
Glascontainer,48145 Münster - Mauritz,Warendorfer Straße 189 (Parkplatz Rewe),ja,nein,nein,"bunt, weiß",51.967869,7.657542
Glascontainer,48155 Münster - Mauritz,Wolbecker Str. 296 (Parkpl.),ja,nein,nein,"bunt, weiß",51.951363,7.669298
