Teilbereich Altstadt;1,91379310344828;41,8918918918919;0,801724137931035;129,279279279279;2,47413793103448;46,8626126126126;0,015765765765766;0,058558558558559;0,263513513513513;0,337837837837838;0,337837837837838;0,092342342342342;0,43018018018018;0,236143768894861;0,510581121934834;0,129996640913672;0,116896204232449;0,006382264024185;2,8963963963964;3,42021276595745;72,6622340425532;21,2449455676516;0,236143768894861;0,468928451461203;0,041652670473631;0,100772589855559;0,001343634531407;0,027880416526705;0,007054081289889;0,10984212294256;0,006382264024185;
Josef;1,91275167785235;41,0526315789474;0,785234899328859;134,736842105263;2,57718120805369;44,7157894736842;0,014035087719298;0,049122807017544;0,270175438596491;0,333333333333333;0,371929824561403;0,105263157894737;0,47719298245614;0,205202312138728;0,530346820809249;0,173410404624277;0,086705202312139;0,004335260115607;3,16842105263158;3,59760956175299;69,7848605577689;19,3975636766334;0,205202312138728;0,5;0,030346820809249;0,130057803468208;0,004335260115607;0,039017341040463;0,004335260115607;0,082369942196532;0,004335260115607;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;142;367;120;60;3;Wege/P*T;Wege/mP*T;min/mP;min/Weg;142;346;21;90;3;27;3;57;3;692
Bahnhof;2,25531914893617;21,6981132075472;0,48936170212766;125,471698113208;2,82978723404255;38,5377358490566;0,018867924528302;0,056603773584906;0,339622641509434;0,415094339622642;0,330188679245283;0,122641509433962;0,452830188679245;0,139664804469274;0,418994413407821;0,134078212290503;0,303538175046555;0,003724394785847;3,14150943396226;3,74157303370787;88,1797752808989;23,5675675675676;0,139664804469274;0,400372439478585;0,018621973929237;0,104283054003724;0,001862197392924;0,027932960893855;0,042830540037244;0,260707635009311;0,003724394785847;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;75;225;72;163;2;Wege/P*T;Wege/mP*T;min/mP;min/Weg;75;215;10;56;1;15;23;140;2;537
Hansaplatz;2,01136363636364;28,2485875706215;0,568181818181818;124,293785310734;2,5;40,8926553672316;0,016949152542373;0,028248587570622;0,401129943502825;0,446327683615819;0,305084745762712;0,096045197740113;0,401129943502825;0,163934426229508;0,629508196721311;0,140983606557377;0,065573770491803;0;3,00564971751412;3,43225806451613;69,5032258064516;20,25;0,163934426229508;0,60655737704918;0,022950819672131;0,104918032786885;0,00327868852459;0,032786885245902;0,00655737704918;0,059016393442623;0;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;50;192;43;20;0;Wege/P*T;Wege/mP*T;min/mP;min/Weg;50;185;7;32;1;10;2;18;0;305
Mauritz-West;1,97647058823529;38,0952380952381;0,752941176470588;151,190476190476;2,98823529411765;42,9404761904762;0,005952380952381;0,05952380952381;0,238095238095238;0,303571428571429;0,380952380952381;0,142857142857143;0,523809523809524;0,202941176470588;0,594117647058823;0,158823529411765;0,032352941176471;0,011764705882353;3,69047619047619;4,02597402597403;76,3961038961039;18,9758064516129;0,202941176470588;0,558823529411765;0,035294117647059;0,132352941176471;0;0,026470588235294;0,002941176470588;0,029411764705882;0,011764705882353;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;69;202;54;11;4;Wege/P*T;Wege/mP*T;min/mP;min/Weg;69;190;12;45;0;9;1;10;4;340
Schlachthof;2,01136363636364;53,1073446327684;1,06818181818182;148,022598870057;2,97727272727273;53,4406779661017;0;0,07909604519774;0,112994350282486;0,192090395480226;0,435028248587571;0,101694915254237;0,536723163841808;0,162222222222222;0,595555555555556;0,188888888888889;0,042222222222222;0,011111111111111;3,46892655367232;3,74390243902439;68,7012195121951;18,3501628664495;0,162222222222222;0,546666666666667;0,048888888888889;0,153333333333333;0;0,035555555555556;0,002222222222222;0,04;0,011111111111111;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;73;268;85;19;5;Wege/P*T;Wege/mP*T;min/mP;min/Weg;73;246;22;69;0;16;1;18;5;450
Kreuz;2,02884615384615;43,1279620853081;0,875;139,336492890995;2,82692307692308;46,8009478672986;0,018957345971564;0,042654028436019;0,234597156398104;0,296208530805687;0,345971563981043;0,082938388625592;0,428909952606635;0,169832402234637;0,606703910614525;0,156424581005587;0,051396648044693;0,015642458100559;3,09478672985782;3,45502645502645;64,9444444444444;18,7970903522205;0,169832402234637;0,556424581005587;0,050279329608939;0,132960893854749;0,003351955307263;0,020111731843576;0,001117318435754;0,050279329608939;0,015642458100559;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;152;543;140;46;14;Wege/P*T;Wege/mP*T;min/mP;min/Weg;152;498;45;119;3;18;1;45;14;895
Neutor;1,86046511627907;46,25;0,86046511627907;140;2,6046511627907;43,55;0,0125;0,025;0,275;0,3125;0,45;0,05;0,5;0,189723320158103;0,592885375494071;0,154150197628459;0,047430830039526;0,015810276679842;3,1625;3,56338028169014;79,9295774647887;22,4308300395257;0,189723320158103;0,553359683794466;0,039525691699605;0,118577075098814;0,00395256916996;0,031620553359684;0;0,047430830039526;0,015810276679842;
;Pers./Haush.;Pkw/100 EW;Pkw/Haush.;Rad/100 EW;Rad/Haush.;Jahre;Azubi;Schüler;Studenten;Ausbildung;Vollzeit;Teilzeit;Erwerbst.;48;150;39;12;4;Wege/P*T;Wege/mP*T;min/mP;min/Weg;48;140;10;30;1;8;0;12;4;253
