Id,Name der Elektrotankstelle,Latitude,Longitude
629,Grossmarkt L. Stroetmann,7.5682386221621,51.922876380053
630,Hüfferstift,7.6070126356814,51.960443534452
631,Leonardo-Campus,7.5989445509646,51.975752380893
632,Münster Electrochemical Energy Technology (MEET),7.5975068869326,51.968336572062
633,Parkhaus Alter Steinweg,7.6318820776675,51.962175626566
634,Parkhaus Engelenschanze,7.632332688782,51.956741128428
635,Parkhaus Münster Arkaden,7.6269682707522,51.959544406815
636,Parkplatz Ludgeriplatz,7.6287707152102,51.955273304262
637,Parkplatz Stadthaus 1,7.6298435988161,51.961210423186
638,Parkplatz SuperBioMarkt,7.6115402044985,51.971971925822
639,Stadtwerke Münster,7.6381906332705,51.950763742061
