Stations-Id,Name der Park-and-Ride-Station,Latitude,Longitude
759,P+R Amelsbüren Bahnhof,51.884718991195,7.5999060881349
761,P+R Grevener Straße,52.002996739981,7.6155916464538
762,P+R Haltepunkt Zentrum Nord,51.984261355556,7.6370707762452
763,P+R Hauptbahnhof,51.956355155212,7.6357618582459
764,P+R Hiltrup Bahnhof,51.904713973707,7.6542369139405
765,P+R Kappenberger Damm,51.889976812304,7.5769034636231
766,P+R Nienberge-Häger Bahnhof,52.022925856063,7.56229078891
767,P+R Preußenstadion,51.932149548675,7.6258698713989
768,P+R Roxel Bahnhof,51.946118968127,7.5276581061096
769,P+R Weseler Straße,51.936409624287,7.6024810087891
770,P+R Wilkinghege,51.98369309378,7.5884262335509
771,P+R Nieberdingstraße,51.944643033082,7.6454910558623
773,P+R Albachten Bahnhof,51.91527727,7.527228953
774,P+R Sprakel Bahnhof,52.04172674,7.618385202
