Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude
2,Elektrokleingeräte-Container,48151 Münster - Aaseestadt,Lange Ossenbeck/Kleihorststraße,,51.938862,7.599680
3,Elektrokleingeräte-Container,48163 Münster - Albachten,Hohe Geist  / Concordenstraße (Parkplatz Sportplatz Concordia),,51.923733,7.529846
4,Elektrokleingeräte-Container,48163 Münster - Amelsbüren,Auf der Woort 1 (Parkstreifen vor Getränkemarkt),,51.883011,7.605308
5,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Am Schütthook / Junker-Jörg-Platz,,51.915714,7.691175
6,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Brandhoveweg 101 (Parkplatz Hallenbad),,51.915863,7.715098
7,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Buschstraße / Zum Erlenbusch,,51.922024,7.677269
8,Elektrokleingeräte-Container,48153 Münster - Berg Fidel,Am Berg Fidel  (Stadion Parkplatz),,51.931709,7.625217
9,Elektrokleingeräte-Container,48165 Münster - Berg Fidel,Vennheideweg / Elsa-Brändström-Weg,,51.921360,7.621698
10,Elektrokleingeräte-Container,48149 Münster - Centrum,"Grevener Straße, Höhe Nr. 61c",,51.971848,7.612333
11,Elektrokleingeräte-Container,48155 Münster - Centrum,Hansaring 63 (vor REWE) - vorübergehend versetzt zur Schillerstr. (Hansa-Berufskolleg &amp; Anfang Schillerbrücke),,51.954071,7.644300
12,Elektrokleingeräte-Container,48143 Münster - Centrum,Schlossplatz 44 (gegenüber Bäckergasse),,51.963097,7.617731
13,Elektrokleingeräte-Container,48157 Münster - Coerde,An der Kleimannbrücke / August-Horch-Straße,,51.995857,7.662631
14,Elektrokleingeräte-Container,48157 Münster - Coerde,Schneidemühler Straße (westl. Liegnitzer Str. Nr. 17),,51.993641,7.650020
15,Elektrokleingeräte-Container,48151 Münster - Geist,Elsässer Straße / Metzer Straße,,51.939857,7.620365
16,Elektrokleingeräte-Container,48163 Münster - Geist,Geringhoffstraße  44 (Parkplatz HIT-Markt),,51.929893,7.600112
17,Elektrokleingeräte-Container,48157 Münster - Gelmer,Zur Eckernheide/Hakenesheide (Sportplatz),,52.025932,7.674438
18,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,"Gievenbecker Reihe (Parkboxen vor Sportplatz, Mosaikschule )",,51.965267,7.568046
19,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,Heekweg 15 (Parkstreifen Lebensmittelmarkt),,51.972713,7.564237
20,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,Rüschhausweg / Enschedeweg,,51.968204,7.578708
21,Elektrokleingeräte-Container,48167 Münster - Gremmendorf,Frankenweg 17,,51.920643,7.668963
22,Elektrokleingeräte-Container,48155 Münster - Gremmendorf,Loddenheide 5 (Parkplatz Marktkauf),,51.938709,7.645914
23,Elektrokleingeräte-Container,48157 Münster - Handorf,Kirschgarten 68 (gegenüber Sportplatz),,51.987377,7.709063
24,Elektrokleingeräte-Container,48165 Münster - Hiltrup,"Am Roggenkamp 173 (Parkstreifen, südwestl. EKZ)",,51.903988,7.673038
25,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Amelsbürener Str. / Meesenstiege,,51.898445,7.623712
26,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Merkureck / Hohe Geest (EKZ),,51.913879,7.634897
27,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Osttor 101 (Parkplatz Sportplatz),,51.906548,7.668807
28,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Zur Vogelstange / Zum Roten Berge,,51.898972,7.641039
29,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,"Grevener Straße 420 (Parkstreifen, Taxistand (stadtausw.))",,51.995403,7.613071
30,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Josef Beckmann Str. / Brüningheide,,51.997353,7.598677
31,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Rektoratsweg / Im Moorhock,,51.987198,7.607987
32,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Westhoffstraße 110 (vor REWE-Markt),,51.992908,7.599050
33,Elektrokleingeräte-Container,48145 Münster - Mauritz,Andreas-Hofer-Straße 50 (Parkstreifen vor OFD),,51.957535,7.652920
34,Elektrokleingeräte-Container,48145 Münster - Mauritz,Dieckstraße / Kärntner Straße,,51.970879,7.649173
35,Elektrokleingeräte-Container,48155 Münster - Mauritz,Mondstraße / Hans-Bredow-Weg (WDR),,51.958195,7.676327
36,Elektrokleingeräte-Container,48163 Münster - Mecklenbeck,Meyerbeerstraße 46 (Parkstreifen),,51.925842,7.576516
37,Elektrokleingeräte-Container,48163 Münster - Mecklenbeck,Ossenkampstiege / Boeselagerstr.,,51.936428,7.596465
38,Elektrokleingeräte-Container,48161 Münster - Nienberge,"Plettendorfstraße 6 (Parkstreifen, östl. EKZ)",,51.996750,7.556477
39,Elektrokleingeräte-Container,48161 Münster - Roxel,Schulte-Hermann-Straße 9 (EKZ),,51.953262,7.533639
40,Elektrokleingeräte-Container,48149 Münster - Sentrup,Sentruper Straße 151 (Parkstreifen Sportplatz),,51.955097,7.601194
41,Elektrokleingeräte-Container,48159 Münster - Sprakel,Sprakeler Straße (nördl. Bahnhof),,52.042107,7.619273
42,Elektrokleingeräte-Container,48147 Münster - Wienburg,Meßkamp / Kinderhauser Straße,,51.980354,7.613649
43,Elektrokleingeräte-Container,48147 Münster - Wienburg,Stettiner Straße 68,,51.975834,7.646609
44,Elektrokleingeräte-Container,48167 Münster - Wolbeck,Alverskirchener Str. 45 (Parkplatz Feuerwehr),,51.916889,7.734491
45,Elektrokleingeräte-Container,48167 Münster - Wolbeck,Franz-von-Waldeck-Str. / Hiltruper Str. (Marktplatz),,51.915928,7.725556
Erstellungsdatum:,2024-09-26,,,,,
