ID;Title;Latitude;Longitude;Info
SWM-003;Gievenbeck – Wochenmarkt Rüschhausweg;51.967541;7.579295;"Gievenbeck - Wochenmarkt
Rüschhausweg

Jeden 3. Donnerstag im Monat 
14:00–18:00 Uhr"
SWM-004;Hiltrup – Marktallee;51.905454;7.64401;"Hiltrup - Marktallee
Ecke Moränenstraße

Jeden 2. Freitag im Monat 
08:00–13:00"
SWM-005;Hiltrup – Meesenstiege;51.902912;7.625411;"Hiltrup - Meesenstiege
an der Apotheke

Jeden 4. Freitag im Monat 
14:00–18:00 Uhr"
SWM-006;Kinderhaus – Wochenmarkt;51.995743;7.603105;"Kinderhaus - Wochenmarkt
Idenbrockplatz

Jeden 1. Donnerstag im Monat 	
8:30–12:30 Uhr"
SWM-007;Nienberge – Wochenmarkt;51.998537;7.559489;"Nienberge - Wochenmarkt
Sebastianstraße, Ecke Kirmstraße

Jedem 1. Freitag im Monat 	
9:00–12:00 Uhr"
SWM-008;Roxel – Wochenmarkt;51.954012;7.533525;"Roxel – Wochenmarkt
Pantaleonplatz

Jeden 3. Freitag im Monat 
13:30–17:30 Uhr"
SWM-009;Handorf – Wochenmarkt;51.98745;7.697611;"Handorf – Wochenmarkt 
Hugo-Pottebaum-Platz 1
 
Jeden 3. Dienstag im Monat 
13:30–18:00 Uhr 
"
SWM-010;Wolbeck – Wochenmarkt;51.915733;7.726062;"Wolbeck– Wochenmarkt 
Hiltruper Straße 1
 
Jeden 2. Mittwoch im Monat 
13:30–18:00 Uhr 
"
SWM-011;Mecklenbeck – Edeka;51.931272;7.579656;"Mecklenbeck – Edeka
Dingbängerweg 69 – Kundenparkplatz

Jeden 2. Montag im Monat
09:00–13:30 Uhr
"
