Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
2,Elektrokleingeräte-Container,48151 Münster - Aaseestadt,"Lange Ossenbeck, vor Nr. 9",,51.937202,7.597586,2023-01-23
3,Elektrokleingeräte-Container,48163 Münster - Albachten,Hohe Geist  / Concordenstraße (Parkplatz Sportplatz Concordia),,51.923733,7.529846,2023-01-23
4,Elektrokleingeräte-Container,48163 Münster - Amelsbüren,Auf der Woort 1 (Parkstreifen vor Getränkemarkt),,51.883011,7.605308,2023-01-23
5,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Am Schütthook / Junker-Jörg-Platz,,51.915714,7.691175,2023-01-23
6,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Brandhoveweg 101 (Parkplatz Hallenbad),,51.915863,7.715098,2023-01-23
7,Elektrokleingeräte-Container,48167 Münster - Angelmodde,Buschstraße / Zum Erlenbusch,,51.922024,7.677269,2023-01-23
8,Elektrokleingeräte-Container,48153 Münster - Berg Fidel,Am Berg Fidel  (Stadion Parkplatz),,51.931709,7.625217,2023-01-23
9,Elektrokleingeräte-Container,48165 Münster - Berg Fidel,Vennheideweg / Elsa-Brändström-Weg,,51.921360,7.621698,2023-01-23
10,Elektrokleingeräte-Container,48149 Münster - Centrum,"Grevener Straße, Höhe Nr. 61c",,51.971848,7.612333,2023-01-23
11,Elektrokleingeräte-Container,48155 Münster - Centrum,Hansaring 63 (vor REWE) - vorübergehend versetzt zur Schillerstr. (Hansa-Berufskolleg &amp; Anfang Schillerbrücke),,51.954071,7.644300,2023-01-23
12,Elektrokleingeräte-Container,48143 Münster - Centrum,Schlossplatz 44 (gegenüber Bäckergasse),,51.963097,7.617731,2023-01-23
13,Elektrokleingeräte-Container,48157 Münster - Coerde,An der Kleimannbrücke / August-Horch-Straße,,51.995857,7.662631,2023-01-23
14,Elektrokleingeräte-Container,48157 Münster - Coerde,Schneidemühler Straße (westl. Liegnitzer Str. Nr. 17),,51.993641,7.650020,2023-01-23
15,Elektrokleingeräte-Container,48151 Münster - Geist,Elsässer Straße / Metzer Straße,,51.939857,7.620365,2023-01-23
