Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
2,Altkleidercontainer,48151 Münster - Aaseestadt,"Lange Ossenbeck, vor Nr. 9",,51.937202,7.597586,2023-01-23
3,Altkleidercontainer,48163 Münster - Albachten,Dülmener Straße 22 a (Parkplatz Netto),,51.925529,7.523392,2023-01-23
4,Altkleidercontainer,48163 Münster - Albachten,Hohe Geist  / Concordenstraße (Parkplatz Sportplatz Concordia),,51.923733,7.529846,2023-01-23
5,Altkleidercontainer,48163 Münster - Albachten,Langenkamp 162 (Bahnhof Albachten),,51.914623,7.526531,2023-01-23
6,Altkleidercontainer,48163 Münster - Albachten,"östl. Am Kämpken 32, vor Spielplatz",,51.920204,7.526378,2023-01-23
7,Altkleidercontainer,48163 Münster - Amelsbüren,"Davertstraße 17, Parkplatz hinter LVM",,51.885433,7.604587,2023-01-23
8,Altkleidercontainer,48163 Münster - Amelsbüren,Davertstraße 73 (Parkplatz Feuerwehr / Friedhof),,51.881283,7.608555,2023-01-23
9,Altkleidercontainer,48167 Münster - Angelmodde,Alt Angelmodde 11d (AWO-Kindergarten),,51.922409,7.699245,2023-01-23
10,Altkleidercontainer,48167 Münster - Angelmodde,Brandhoveweg 101 (Parkplatz Hallenbad),,51.915863,7.715098,2023-01-23
11,Altkleidercontainer,48167 Münster - Angelmodde,Buschstraße / Zum Erlenbusch,,51.922024,7.677269,2023-01-23
12,Altkleidercontainer,48153 Münster - Berg Fidel,Kriegerweg / Gerstkamp,,51.924698,7.611991,2023-01-23
13,Altkleidercontainer,48165 Münster - Berg Fidel,Vennheideweg / Elsa-Brändström-Weg,,51.921360,7.621698,2023-01-23
14,Altkleidercontainer,48145 Münster - Centrum,Friedensstraße /Warendorfer Straße,,51.961483,7.642322,2023-01-23
15,Altkleidercontainer,48149 Münster - Centrum,"Grevener Straße, Höhe Nr. 61c",,51.971848,7.612333,2023-01-23
16,Altkleidercontainer,48155 Münster - Centrum,Hansaring 63 (vor REWE) - vorübergehend versetzt zur Schillerstr. (Hansa-Berufskolleg &amp; Anfang Schillerbrücke),,51.954071,7.644300,2023-01-23
17,Altkleidercontainer,48147 Münster - Centrum,Parkplatz gegenüber Kanalstraße 57,,51.972458,7.632942,2023-01-23
18,Altkleidercontainer,48143 Münster - Centrum,Schlossplatz 44 (gegenüber Bäckergasse),,51.963097,7.617731,2023-01-23
19,Altkleidercontainer,48145 Münster - Centrum,Zumsandestr. 25 -27,,51.960003,7.641640,2023-01-23
20,Altkleidercontainer,48157 Münster - Coerde,An der Kleimannbrücke / August-Horch-Straße,,51.995857,7.662631,2023-01-23
21,Altkleidercontainer,48157 Münster - Coerde,Hamannplatz / Coerde-Markt,,51.993015,7.646932,2023-01-23
22,Altkleidercontainer,48157 Münster - Coerde,Schneidemühler Straße (gegenüber Haus Nr. 7),,51.993713,7.649977,2023-01-23
23,Altkleidercontainer,48157 Münster - Coerde,Zum Heidehof 80 (Recyclinghof Entsorgungszentrum),,52.010937,7.652406,2023-01-23
24,Altkleidercontainer,48153 Münster - Geist,Augustastraße/Friedrich-Ebert-Straße,,51.948067,7.630926,2023-01-23
25,Altkleidercontainer,48163 Münster - Geist,Buldernweg/Drensteinfurtweg,,51.926701,7.601066,2023-01-23
26,Altkleidercontainer,48153 Münster - Geist,Scheibenstraße 114,,51.938721,7.627457,2023-01-23
