Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
53,Glascontainer,48143 Münster - Centrum,Mühlenstraße/Am Stadtgraben,,51.958794,7.619821,2023-01-23
54,Glascontainer,48143 Münster - Centrum,Münzstraße/Kalkmarkt (gegenüber),,51.966702,7.617672,2023-01-23
55,Glascontainer,48149 Münster - Centrum,Nordplatz,,51.971889,7.623393,2023-01-23
56,Glascontainer,48145 Münster - Centrum,"Oststr. (ggü. Fernmeldeamt, Durchgang)",,51.962105,7.645330,2023-01-23
57,Glascontainer,48151 Münster - Centrum,Scharnhorststraße (Hoppendamm) Unterflur,,51.953228,7.614333,2023-01-23
58,Glascontainer,48151 Münster - Centrum,Scharnhorststraße vor Haus Nr. 100,,51.950066,7.607161,2023-01-23
59,Glascontainer,48149 Münster - Centrum,Schlossplatz (ggü. Frauenstraße),,51.963127,7.617717,2023-01-23
60,Glascontainer,48143 Münster - Centrum,Servatiiplatz/Wolbecker Straße,,51.959908,7.635615,2023-01-23
61,Glascontainer,48149 Münster - Centrum,Steinfurter Str. 67-81 (Studentenw.),,51.972324,7.606580,2023-01-23
62,Glascontainer,48149 Münster - Centrum,Steinfurter Straße 23-25 (REWE-Markt),,51.969162,7.612375,2023-01-23
63,Glascontainer,48149 Münster - Centrum,Studtplatz/Grimmstraße  Unterflur,,51.969345,7.618198,2023-01-23
64,Glascontainer,48153 Münster - Centrum,Südstraße/Hafenstraße,,51.954987,7.627707,2023-01-23
65,Glascontainer,48143 Münster - Centrum,Universitätsstraße/Bispinghof,,51.960754,7.620446,2023-01-23
66,Glascontainer,48147 Münster - Centrum,Wasserstraße/Kanalstraße,,51.966888,7.630901,2023-01-23
67,Glascontainer,48149 Münster - Centrum,Wilhelmstraße/Orlèans-Ring,,51.968712,7.603550,2023-01-23
68,Glascontainer,48159 Münster - Centrum,York-Ring (Hauptfeuerwache),,51.974380,7.610001,2023-01-23
69,Glascontainer,48157 Münster - Coerde,An der Kleimannbrücke 25 (Kanal),,51.990982,7.660605,2023-01-23
70,Glascontainer,48157 Münster - Coerde,An der Kleinannbrücke/August-Horch-Straße,,51.995888,7.662595,2023-01-23
71,Glascontainer,48157 Münster - Coerde,An der Meerwiese,,51.987568,7.649341,2023-01-23
72,Glascontainer,48157 Münster - Coerde,Dachsleite/Marienburgstraße,,51.997517,7.648975,2023-01-23
73,Glascontainer,48157 Münster - Coerde,Görlitzer Straße (zw. Haus Nr. 34-58),,51.991726,7.642728,2023-01-23
74,Glascontainer,48157 Münster - Coerde,Hamannplatz,,51.993423,7.646639,2023-01-23
75,Glascontainer,48157 Münster - Coerde,Hessenbusch ggü. 184 (Wagenburg),,52.010876,7.665422,2023-01-23
76,Glascontainer,48157 Münster - Coerde,Josef-König-Str./Nevinghoff / Arbeitsamt,,51.984341,7.633314,2023-01-23
77,Glascontainer,48157 Münster - Coerde,Nerzweg gegenüber Haus Nr. 32,,51.999153,7.640459,2023-01-23
78,Glascontainer,48157 Münster - Coerde,Schneidemühler Str. /Königsberger Str.,,51.993668,7.650028,2023-01-23
79,Glascontainer,48157 Münster - Coerde,ZDM Coerder Liekweg 76 Recyclinghof,,52.010872,7.652774,2023-01-23
80,Glascontainer,48153 Münster - Geist,Augustastraße/Friedrich-Ebert-Straße,,51.948067,7.630926,2023-01-23
81,Glascontainer,48163 Münster - Geist,Buldernweg/Drensteinfurtweg,,51.926701,7.601066,2023-01-23
82,Glascontainer,48153 Münster - Geist,Düesbergweg (Maria-Hötte-Stift),,51.931030,7.613087,2023-01-23
83,Glascontainer,48151 Münster - Geist,Elsässer Straße/Metzer Straße,,51.939926,7.620346,2023-01-23
84,Glascontainer,48153 Münster - Geist,"Friedrich-Ebert-Straße (E-Center, ehem. Toom-Markt)",,51.943275,7.630899,2023-01-23
85,Glascontainer,48163 Münster - Geist,Geringhoffstraße (HIT-Markt),,51.929947,7.600092,2023-01-23
86,Glascontainer,48153 Münster - Geist,Herdingstraße/Travelmannstraße,,51.946091,7.628080,2023-01-23
87,Glascontainer,48151 Münster - Geist,Kappenberger Damm gegenüber Haus Nr. 88,,51.935253,7.608469,2023-01-23
88,Glascontainer,48153 Münster - Geist,Kriegerweg 41 (Bahnunterführung),,51.924641,7.611925,2023-01-23
89,Glascontainer,48153 Münster - Geist,Scheibenstraße (vor Haus Nr. 115),,51.938881,7.627559,2023-01-23
90,Glascontainer,48153 Münster - Geist,Scheibenstraße / Friedrich-Ebert-Straße,,51.942413,7.625407,2023-01-23
91,Glascontainer,48151 Münster - Geist,Sentmaringer Weg/Geiststr./Marktplatz,,51.945499,7.621973,2023-01-23
92,Glascontainer,48153 Münster - Geist,St.-Josef-Kirchplatz (Hammer Straße/ Dahlweg),,51.949680,7.625407,2023-01-23
93,Glascontainer,48163 Münster - Geist,Werneweg/Kappenberger Damm,,51.924240,7.603225,2023-01-23
94,Glascontainer,48151 Münster - Geist,Wörthstraße 4,,51.944141,7.622934,2023-01-23
95,Glascontainer,48157 Münster - Gelmer,Westerheide (Schule),,52.028553,7.675924,2023-01-23
96,Glascontainer,48157 Münster - Gelmer,Zur Eckernheide (Sportplatz),,52.025928,7.674493,2023-01-23
97,Glascontainer,48161 Münster - Gievenbeck,Arnheimweg (Parkplatz Sportgelände),,51.965122,7.574830,2023-01-23
98,Glascontainer,48161 Münster - Gievenbeck,Borghorstweg/Enschedeweg/Ahausweg,,51.968826,7.572401,2023-01-23
99,Glascontainer,48161 Münster - Gievenbeck,Gescherweg (Haus Nr. 70-84),,51.975597,7.574424,2023-01-23
100,Glascontainer,48161 Münster - Gievenbeck,Gievenbecker Reihe (am Sportplatz),,51.965359,7.568089,2023-01-23
101,Glascontainer,48161 Münster - Gievenbeck,Heekweg 15 (Sparkasse),,51.972759,7.564210,2023-01-23
102,Glascontainer,48161 Münster - Gievenbeck,Hensenstraße (vor Haus Nr. 190),,51.974056,7.570235,2023-01-23
103,Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg (Haus Nr. 250-258),,51.976212,7.585530,2023-01-23
104,Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg (Wendehammer) vor Uni Sportplatz,,51.970104,7.602499,2023-01-23
105,Glascontainer,48161 Münster - Gievenbeck,Horstmarer Landweg bei Haus Nr. 92,,51.971432,7.596370,2023-01-23
106,Glascontainer,48161 Münster - Gievenbeck,RATIO Verbrauchermarkt / Roxeler Str. 416-420,,51.957581,7.571720,2023-01-23
107,Glascontainer,48161 Münster - Gievenbeck,Recyclinghof Gievenbeck,,51.960854,7.570661,2023-01-23
108,Glascontainer,48161 Münster - Gievenbeck,Rüschhausweg/Asbeckweg/Bentheimweg,,51.970848,7.571204,2023-01-23
109,Glascontainer,48161 Münster - Gievenbeck,Rüschhausweg/Toppheideweg (Coop),,51.973320,7.565579,2023-01-23
110,Glascontainer,48161 Münster - Gievenbeck,Stadtlohnweg gegenü. Haus Nr. 1-17,,51.973133,7.560686,2023-01-23
111,Glascontainer,48161 Münster - Gievenbeck,Twenteweg (Haus Nr. 1),,51.972908,7.572505,2023-01-23
112,Glascontainer,48161 Münster - Gievenbeck,Von-Esmarch-Str. (vor Haus Nr. 168),,51.966751,7.581358,2023-01-23
113,Glascontainer,48161 Münster - Gievenbeck,Von-Esmarch-Str./Schreiberstraße,,51.965172,7.593898,2023-01-23
114,Glascontainer,48161 Münster - Gievenbeck,Wickenkamp/Dieckmannstraße,,51.968044,7.562038,2023-01-23
115,Glascontainer,48167 Münster - Gremmendorf,Albersloher Weg (Parkplatz Kaufpark) bei Haus Nr. 539,,51.925003,7.671709,2023-01-23
116,Glascontainer,48167 Münster - Gremmendorf,Albersloher Weg 450 (Einfahrt York-Karserne),,51.926556,7.669054,2023-01-23
117,Glascontainer,48167 Münster - Gremmendorf,Angelmodder Weg (ggü. Haus Nr. 80) / Agathastr.,,51.928375,7.687179,2023-01-23
118,Glascontainer,48167 Münster - Gremmendorf,Biederlackweg gegenü. Haus Nr. 71,,51.930607,7.654998,2023-01-23
119,Glascontainer,48155 Münster - Gremmendorf,Boelckeweg (am Bahndamm),,51.941086,7.651419,2023-01-23
120,Glascontainer,48167 Münster - Gremmendorf,Erbdrostenweg/Anton-Knubel-Weg,,51.931797,7.666986,2023-01-23
121,Glascontainer,48167 Münster - Gremmendorf,Frankenweg,,51.920677,7.668984,2023-01-23
122,Glascontainer,48155 Münster - Gremmendorf,Fridtjof-Nansen-Weg 10,,51.933544,7.655370,2023-01-23
123,Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg 34 (nähe Bahnübergang),,51.929703,7.672285,2023-01-23
124,Glascontainer,48167 Münster - Gremmendorf,Gremmendorfer Weg/ Böddingheideweg (ehem. Zwi-Schulmann-Weg),,51.932178,7.681217,2023-01-23
125,Glascontainer,48155 Münster - Gremmendorf,Loddenheide 2 / Egbert-Snoek-Str. Marktkauf (Parkplatz),,51.938759,7.645896,2023-01-23
126,Glascontainer,48155 Münster - Gremmendorf,Recyclinghof Eulerstraße,,51.938850,7.641551,2023-01-23
127,Glascontainer,48155 Münster - Hafen,Am Hawerkamp 39,,51.944805,7.638512,2023-01-23
128,Glascontainer,48157 Münster - Handorf,An den Eichen (Parkstreifen),,52.002293,7.715920,2023-01-23
129,Glascontainer,48157 Münster - Handorf,Heriburgstraße (Parkplatz Hallenbad),,51.989536,7.705504,2023-01-23
130,Glascontainer,48157 Münster - Handorf,Hobbeltstraße/Handorfer Straße,,51.981728,7.704549,2023-01-23
131,Glascontainer,48157 Münster - Handorf,Hugo-Pottebaum-Platz,,51.987602,7.697667,2023-01-23
132,Glascontainer,48157 Münster - Handorf,Kirschgarten/Hobbeltstr. (Sportplatz),,51.987438,7.708974,2023-01-23
133,Glascontainer,48157 Münster - Handorf,"Krüsbreede, Friedhof",,51.986298,7.701195,2023-01-23
134,Glascontainer,48157 Münster - Handorf,Lützowstraße (Soldatenheim gegenü. Bushaltestelle),,51.999031,7.716472,2023-01-23
135,Glascontainer,48157 Münster - Handorf,Mariendorfer Str. (Haus Nr. 35),,51.987469,7.668847,2023-01-23
136,Glascontainer,48157 Münster - Handorf,Mariendorfer Str. / Im Sundern (Straßenrand),,51.988544,7.673992,2023-01-23
137,Glascontainer,48157 Münster - Handorf,Recyclinghof Handorf Panzerstraße,,51.989388,7.713545,2023-01-23
138,Glascontainer,48157 Münster - Handorf,Sudmühlenstr./Havichhorststr.,,51.997078,7.681153,2023-01-23
139,Glascontainer,48165 Münster - Hiltrup,Adolf-Wentrup-Weg/Asternweg,,51.902493,7.668835,2023-01-23
140,Glascontainer,48165 Münster - Hiltrup,Am Roggenkamp,,51.903996,7.673036,2023-01-23
141,Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Langestraße,,51.900467,7.634603,2023-01-23
142,Glascontainer,48165 Münster - Hiltrup,Amelsbürener Str./Meesenstiege,,51.898232,7.624178,2023-01-23
143,Glascontainer,48165 Münster - Hiltrup,Beethovenstraße gegenüber Haus Nr. 4,,51.910000,7.648747,2023-01-23
144,Glascontainer,48165 Münster - Hiltrup,Burgwall/Linckensstraße,,51.906822,7.619626,2023-01-23
145,Glascontainer,48165 Münster - Hiltrup,Franz-Marc-Weg (Buswendeplatz),,51.901039,7.666804,2023-01-23
146,Glascontainer,48165 Münster - Hiltrup,"Glasuritstraße, Zufahrt zum Bahnhof",,51.903767,7.654262,2023-01-23
147,Glascontainer,48165 Münster - Hiltrup,Helene-Weigel-Weg (Parkplatz hinter E-Center),,51.901825,7.623629,2023-01-23
148,Glascontainer,48165 Münster - Hiltrup,Hoffmann-von-Fallersleben-Weg/Kortumweg,,51.902592,7.634952,2023-01-23
149,Glascontainer,48165 Münster - Hiltrup,"Hünenburg/Linckensstr., (Tenniscenter)",,51.910946,7.623936,2023-01-23
150,Glascontainer,48165 Münster - Hiltrup,Im Hain (ggü. Haus Nr. 35),,51.912704,7.655836,2023-01-23
151,Glascontainer,48165 Münster - Hiltrup,Kanalpromenade unter Brücke Osttor/ Föhrenweg,,51.906296,7.656748,2023-01-23
152,Glascontainer,48165 Münster - Hiltrup,Max-Winkelmann-Str. / Bergiusstraße (alter Bahnhof),,51.903778,7.654245,2023-01-23
