Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
226,Glascontainer,48149 Münster - Sentrup,"Rudolf-Harbig-Weg (Studentenw., 39-51)",,51.974236,7.593605,2023-01-23
227,Glascontainer,48149 Münster - Sentrup,Schmeddingstr. (gegenüber Haus Nr. 50),,51.960724,7.589834,2023-01-23
228,Glascontainer,48149 Münster - Sentrup,Sentruper Str. (Parkplatz Mühlenhof),,51.950104,7.596748,2023-01-23
229,Glascontainer,48149 Münster - Sentrup,Sentruper Str. (vor Sportzentrum),,51.955223,7.601379,2023-01-23
230,Glascontainer,48157 Münster - Sprakel,Bahnhof Sprakel,,52.042213,7.619248,2023-01-23
231,Glascontainer,48159 Münster - Sprakel,Dreilinden/Nienberger Straße,,52.041821,7.615412,2023-01-23
232,Glascontainer,48157 Münster - Sprakel,Schlusenweg,,52.032299,7.619631,2023-01-23
233,Glascontainer,48147 Münster - Wienburg,Gartenstr. vor Haus Nr. 165-170,,51.976074,7.636142,2023-01-23
234,Glascontainer,48147 Münster - Wienburg,Hoher Heckenweg 170/Sibeliusstraße,,51.982262,7.645751,2023-01-23
235,Glascontainer,48147 Münster - Wienburg,Holsteiner Straße/Piusallee (Wiewel-Markt),,51.971451,7.640960,2023-01-23
236,Glascontainer,48147 Münster - Wienburg,Jahnstraße 26,,51.975925,7.616317,2023-01-23
237,Glascontainer,48147 Münster - Wienburg,Kanalstraße / Lublinring (Parkplatz) Unterflur,,51.972527,7.632902,2023-01-23
238,Glascontainer,48147 Münster - Wienburg,Meßkamp/Kinderhauser Straße,,51.980396,7.613625,2023-01-23
239,Glascontainer,48147 Münster - Wienburg,Stettiner Str. (ggü. Haus Nr. 68-82),,51.975903,7.646607,2023-01-23
240,Glascontainer,48147 Münster - Wienburg,Wienburgstraße/Salzmannstraße 1,,51.977360,7.621630,2023-01-23
241,Glascontainer,48167 Münster - Wolbeck,Am Borggarten (neben Haus Nr. 3),,51.921364,7.730451,2023-01-23
242,Glascontainer,48167 Münster - Wolbeck,Am Steintor/Juffernkamp,,51.912006,7.728437,2023-01-23
243,Glascontainer,48167 Münster - Wolbeck,Brandhoveweg (Parkplatz Hallenbad),,51.915874,7.715109,2023-01-23
244,Glascontainer,48167 Münster - Wolbeck,Dirk-von-Merveldt-Str. Ev.-Kirche,,51.918667,7.726744,2023-01-23
245,Glascontainer,48167 Münster - Wolbeck,Eschstraße 6,,51.921391,7.726744,2023-01-23
246,Glascontainer,48167 Münster - Wolbeck,Goldbrink (vor Haus Nr. 69),,51.922970,7.721637,2023-01-23
247,Glascontainer,48167 Münster - Wolbeck,Hiltruper Str. 55,,51.911495,7.717853,2023-01-23
248,Glascontainer,48167 Münster - Wolbeck,Hofstr. (neben Feuerwehrgerätehaus),,51.916927,7.734440,2023-01-23
249,Glascontainer,48167 Münster - Wolbeck,Middeler Straße (K&amp;K),,51.925724,7.724731,2023-01-23
250,Glascontainer,48167 Münster - Wolbeck,Recyclinghof Eschstraße,,51.918297,7.721005,2023-01-23
251,Glascontainer,48167 Münster - Wolbeck,Zumbuschstr./Buxtrup,,51.905758,7.720199,2023-01-23
