Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Nennleistung Ladeeinrichtung [kW];Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
E.ON Drive Infrastructure;Raststätte Münsterland Ost;0;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,942285;7,550983;22.08.2019;160;Schnellladeeinrichtung;2;DC Kupplung Combo;160;;DC Kupplung Combo;160;;;;;;;
E.ON Drive Infrastructure;Raststätte Münsterland West;0;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,945421;7,547842;23.08.2019;160;Schnellladeeinrichtung;2;DC Kupplung Combo;160;;DC Kupplung Combo;160;;;;;;;
EnKL GmbH;Roxeler Straße;420;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,957796;7,572103;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EnKL GmbH;Roxeler Straße;420;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,957796;7,572103;31.01.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Pluq;Sentruper Str.;315;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,948465;7,589151;27.07.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;AMYVYDB22GGIG2C5O4I72QH6D3IPSD7Y26GTHJCG;AC Steckdose Typ 2;22;AJPUBJQSGOMCRXIN62KFRAVARXNABJO46ZDRBE7R;;;;;;
Pluq;Sentruper Str.;315;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9848465;7,589151;27.07.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;AIQ6JYUFAGLP3YMIT6OVNOQS7LKOWRAIHUYGJUGS;AC Steckdose Typ 2;22;AJSRAJWMY7X744L3QKLQMZZUPIDRDIHKB3OOCPX6;;;;;;
Pluq;Sentruper Str.;315;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,948465;7,589151;27.07.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;AMFJBPR6CBG5PDJR6EJTILBJXKVFPB7G74ZF4AVE;AC Steckdose Typ 2;22;AO2QTZ5PW257GSAM3EJGXNQHOF4YDFE556SSJE7G;;;;;;
Ratio Erdöl GmbH & Co KG;Roxeler Str.;418;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,95694;7,56973;12.12.2016;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;22;;;;;;;
THC Tennis- und Hockeyclub Münster e.V.;Dingbängerweg;349;;48161;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9458;7,5628;20.04.2023;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
Allego GmbH;Weseler Straße;535;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,92793;7,587946;14.08.2018;93;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Kupplung Typ 2;43;;;;;;;
Hakvoort GmbH;Weseler Straße;729-735;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,92427;7,57015;01.02.2019;4,14;Normalladeeinrichtung;2;AC Steckdose Typ 2;4,14;;AC Steckdose Typ 2;4,14;;;;;;;
Knubel GmbH & Co. KG;Weseler Straße;485;Zufahrt über Mersmannstiege;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,93017867;7,592022446;03.02.2020;22;Schnellladeeinrichtung;2;AC Steckdose Typ 2;22;;DC Kupplung Combo;50;;;;;;;
Knubel GmbH & Co. KG;Weseler Str.;485;Nutzfahrzeugparkplatz-ZufahrtüberWeselerStrasse;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,929179;7,591481;14.04.2022;13,2;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Knubel GmbH & Co. KG;Weseler Str.;485;Nutzfahrzeugparkplatz-ZufahrtüberWeselerStrasse;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,929198;7,591508;14.04.2022;13,2;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
L. Stroetmann Großmärkte GmbH & Co. KG;Harkortstraße;30;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,922444;7,566931;16.03.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Michael Kuhlmann;Brockmannstraße;188;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,92723809;7,580626055;26.11.2020;11;Normalladeeinrichtung;1;AC Kupplung Typ 2;11;;;;;;;;;;
PZ Münster Knubel GmbH & Co. KG;Weseler Straße;693;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,924681;7,573521;20.12.2019;11;Normalladeeinrichtung;1;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;;;;;;;;;
PZ Münster Knubel GmbH & Co. KG;Weseler Straße;693;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,924811;7,573525;20.12.2019;11;Normalladeeinrichtung;1;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;;;;;;;;;
PZ Münster Knubel GmbH & Co. KG;Weseler Straße;693;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,924811;7,573525;20.12.2019;25;Schnellladeeinrichtung;1;DC Kupplung Combo;25;;;;;;;;;;
Stadtwerke Münster GmbH;Ottmarsbocholer Straße;3;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,88237;7,605865;03.08.2020;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Meyerbeerstraße;32-38;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,926007;7,577724;08.11.2021;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Weseler Str.;729-735;DE*DES*E1002975;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,93104515;7,59132735;29.09.2023;75;Schnellladeeinrichtung;2;DC Kupplung Combo;75;;AC Steckdose Typ 2;22;;;;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Weseler Str.;939;DE*DES*E1003868;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,618381;6,567385;31.01.2024;150;Schnellladeeinrichtung;3;DC Kupplung Combo;75;;DC Kupplung Combo;75;;AC Steckdose Typ 2;22;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Hartmannsbrook;141;DE*DES*E1003870;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;52,061379;7,579351;05.02.2024;150;Schnellladeeinrichtung;3;DC Kupplung Combo;75;;DC Kupplung Combo;75;;AC Steckdose Typ 2;22;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Hartmannsbrook;141;DE*DES*E1003862;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;52,061379;7,579351;05.02.2024;150;Schnellladeeinrichtung;3;DC Kupplung Combo;75;;DC Kupplung Combo;75;;AC Steckdose Typ 2;22;;;;
TotalEnergies Charging Solutions Deutschland GmbH;Hartmannsbrook;141;DE*DES*E1003867;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;52,061379;7,579351;05.02.2024;150;Schnellladeeinrichtung;3;DC Kupplung Combo;75;;DC Kupplung Combo;75;;AC Steckdose Typ 2;22;;;;
Westfalen AG;Kopenhagener Str.;19;;48163;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,892241;7,5838618;19.12.2022;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo;150;;;;;;;
Heinrich Hollenhorst GmbH & Co. KG;Westfalenstraße;120;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,908556;7,632741;29.09.2021;39,6;Normalladeeinrichtung;2;DC Kupplung Combo;22;;AC Steckdose Typ 2;11;;;;;;;
L. Stroetmann Lebensmittel GmbH & Co. KG;Bergiusstraße;3;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,904842;7,65273;16.03.2020;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Marktallee;83;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,904983;7,650447;03.08.2020;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Stadtwerke Münster GmbH;Bergiusstraße;0;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,905029;7,653517;01.03.2021;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Stadtwerke Münster GmbH;Hülsebrockstraße;10;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,906581;7,650359;11.05.2021;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
Stadtwerke Münster GmbH;Franz-Dahlkamp-Weg;14;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9016085;7,6251632;05.05.2023;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Westfalen AG;Glasuritstrasse;1;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,902145;7,6503304;01.08.2021;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Westfalen AG;Glasuritstrasse;1;;48165;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,902078;7,6502962;01.08.2021;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
effektiva GmbH;Weichselstr.;6;;48167;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,91059189;7,715318328;01.08.2023;11;Normalladeeinrichtung;1;AC Kupplung Typ 2;11;;;;;;;;;;
Westfalen AG;Albersloher Weg;580;;48167;Münster;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,921978;7,6742283;08.06.2022;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Lidl;An der Hiltruper Baumschule;44848;;48165;Münster-Hiltrup;Nordrhein-Westfalen;Kreisfreie Stadt Münster;51,9058669;7,6334241;14.07.2021;93;Schnellladeeinrichtung;3;AC Steckdose Typ 2, AC Kupplung Typ 2;50;;AC Kupplung Typ 2, DC Kupplung Combo;50;;AC Kupplung Typ 2, DC CHAdeMO;44;;;;
