"X";"Y";"LFDNR";"NAME";"URL";"SchoolType"
3409804;5761816;78;"Gymnasium St. Mauritz";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/78.html";"Gymnasium"
3411946;5754161;87;"Gymnasium Wolbeck";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/87.html";"Gymnasium"
3407686;5758909;104;"Hans-Böckler-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/104.html";"Berufskolleg"
3406972;5758746;99;"Hansa-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/99.html";"Berufskolleg"
3407198;5763439;60;"Hauptschule Coerde";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/60.html";"Hauptschule"
3406560;5752811;65;"Hauptschule Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/65.html";"Hauptschule"
3411946;5754161;61;"Hauptschule Wolbeck";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/61.html";"Hauptschule"
3403300;5759256;59;"Helen-Keller-Schule - Klinikschule der Stadt Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/59.html";"Schule für Kranke"
3405620;5757664;35;"Hermannschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/35.html";"Grundschule"
3405844;5759988;96;"Hildegardisschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/96.html";"Berufskolleg"
3408797;5756176;34;"Idaschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/34.html";"Grundschule"
3406569;5752750;86;"Immanuel-Kant-Gymnasium Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/86.html";"Gymnasium"
3405153;5763269;46;"Irisschule, LWL-Förderschule, Förderschwerpunkt Sehen";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/46.html";"Förderschule"
3406157;5759673;85;"Johann-Conrad-Schlaun-Gymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/85.html";"Gymnasium"
3406530;5752905;72;"Johannes-Gutenberg-Realschule Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/72.html";"Realschule"
3405354;5758514;17;"Johannisschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/17.html";"Grundschule"
3406723;5752586;80;"Kardinal-von-Galen-Gymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/80.html";"Gymnasium"
3410807;5762373;33;"KARDINAL-VON-GALEN SCHULE";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/33.html";"Grundschule"
3405028;5763007;54;"KompassSchule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/54.html";"Förderschule"
3405496;5760419;32;"Kreuzschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/32.html";"Grundschule"
3398798;5755359;5;"Ludgerusschule Albachten";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/5.html";"Grundschule"
3405549;5753073;31;"Ludgerusschule Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/31.html";"Grundschule"
