LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
39;MARTIN-LUTHER-SCHULE;Spielplatz;51.96970779143315;7.627649901227481;BC-0: BC-Bereich ohne Ballspielangebot;22704;10;62702;Tischtennisplatte;;Stein;10 62702 MARTIN-LUTHER-SCHULE, COERDESTRASSE 8
40;MARTIN-LUTHER-SCHULE;Spielplatz;51.96970779143315;7.627649901227481;BC-0: BC-Bereich ohne Ballspielangebot;22704;10;62702;Tischtennisplatte;;Beton;10 62702 MARTIN-LUTHER-SCHULE, COERDESTRASSE 8
41;SCHILLER-GYMNASIUM;Schule;51.96881729957317;7.620782962034212;Gymnasium;82;10;62703;Tischtennisplatte (links);;Beton;10 62703 SCHILLER-GYMNASIUM, GERTRUDENSTRASSE 5
42;SCHILLER-GYMNASIUM;Schule;51.96881729957317;7.620782962034212;Gymnasium;82;10;62703;Tischtennisplatte (mitte);;Beton;10 62703 SCHILLER-GYMNASIUM, GERTRUDENSTRASSE 5
43;REALSCHULE IM KREUZVIERTEL;Schule;51.97391847050406;7.620437281135641;Realschule;68;10;62704;Tischtennisplatte (von vorne 1);;Beton;10 62704 REALSCHULE IM KREUZVIERTEL, Finkenstr.76
44;REALSCHULE IM KREUZVIERTEL;Schule;51.97391847050406;7.620437281135641;Realschule;68;10;62704;Tischtennisplatte (von vorne 2);;Beton;10 62704 REALSCHULE IM KREUZVIERTEL, Finkenstr.76
45;REALSCHULE IM KREUZVIERTEL;Schule;51.97391847050406;7.620437281135641;Realschule;68;10;62704;Tischtennisplatte (von vorne 3);;Beton;10 62704 REALSCHULE IM KREUZVIERTEL, Finkenstr.76
46;REALSCHULE IM KREUZVIERTEL;Schule;51.97391847050406;7.620437281135641;Realschule;68;10;62704;Tischtennisplatte (von vorne 4);;Beton;10 62704 REALSCHULE IM KREUZVIERTEL, Finkenstr.76
47;REALSCHULE IM KREUZVIERTEL;Schule;51.97391847050406;7.620437281135641;Realschule;68;10;62704;Tischtennisplatte (von vorne 5);;Beton;10 62704 REALSCHULE IM KREUZVIERTEL, Finkenstr.76
48;KREUZSCHULE;Schule;51.969643339365895;7.6237844352095845;Grundschule;32;10;62705;Tischtennisplatte;;Stein;10 62705 KREUZSCHULE, SPIELPLATZ, KAMPSTR.15
49;GYMNASIUM PAULINUM;Schule;51.959861046573224;7.6173622004754105;Gymnasium;88;10;62901;Tischtennisplatte (links);;Beton;10 62901 GYMNASIUM PAULINUM
50;GYMNASIUM PAULINUM;Schule;51.959861046573224;7.6173622004754105;Gymnasium;88;10;62901;Tischtennisplatte (mitte);;Beton;10 62901 GYMNASIUM PAULINUM
51;GYMNASIUM PAULINUM;Schule;51.959861046573224;7.6173622004754105;Gymnasium;88;10;62901;Tischtennisplatte (rechts);;Beton;10 62901 GYMNASIUM PAULINUM
52;SCHULE AN DER BECKSTRASSE 26;Schule;51.958802680562535;7.592485146847508;;;10;63101;Tischtennisplatte;;Beton;10 63101 SCHULE AN DER BECKSTRASSE 26, BECKSTR.24-26
