"Objekt";"statB";"Bez";"ObjNr";"Bezeichnung";"Baujahr";"Material"
"10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50";31;10;63102;"Tischtennisplatte";;"Stein"
"10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50";31;10;63102;"Tischtennisplatte";;"Beton"
"10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50";31;10;63102;"Tischtennisplatte rund";;"Beton"
"10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50";31;10;63102;"Tisch ""Schach""";;"Beton"
"10 65201 THERESIENSCHULE, Sentruper Höhe 5";52;10;65201;"Tischtennisplatte";;"Beton"
"10 65201 THERESIENSCHULE, Sentruper Höhe 5";52;10;65201;"Tischtennisplatte";;"Beton"
"10 85210 UNI-KLINIK: SPIELANGEBOT in der HELEN-KELLER-SCHULE, Schmeddingstraße 54";52;10;85210;"Tischtennisplatte";;"Sonstige"
"20 23202 SP KAPPENBERGER DAMM";32;20;23202;"Tischtennisplatte";;"Beton"
"20 23203 SP MATTHIAS-CLAUDIUS-SCHULE";32;20;23203;"Tischtennisplatte (Schaukel)";;"Beton"
"20 23203 SP MATTHIAS-CLAUDIUS-SCHULE";32;20;23203;"Tischtennisplatte (Treppe)";;"Beton"
"20 23205 SP GRÜNER GRUND";32;20;23205;"Tischtennisplatte 1";;"Beton"
"20 23205 SP GRÜNER GRUND";32;20;23205;"Tischtennisplatte 2";;"Beton"
"20 23209 SP GEISTSCHULE";32;20;23209;"Tischtennisplatte rund";;"Beton"
"20 23209 SP GEISTSCHULE";32;20;23209;"Tischtennisplatte (rechts)";;"Beton"
"20 23209 SP GEISTSCHULE";32;20;23209;"Tischtennisplatte (links)";;"Beton"
"20 23301 SP SÜDPARK";33;20;23301;"Tisch ""Mensch ärger dich nicht""";;"Beton"
"20 23301 SP SÜDPARK";33;20;23301;"Tisch ""Schach""";;"Beton"
"20 23301 SP SÜDPARK";33;20;23301;"Tisch (Seilbahn)";;"Beton"
"20 23303 SP DAHLWEG";33;20;23303;"Tischtennisplatte";;"Beton"
"20 23304 SP HERDINGSTRASSE";33;20;23304;"Tischtennisplatte";;"Beton"
"20 23305 SP SCHÜTZENHOF";33;20;23305;"Tischtennisplatte";;"Beton"
"20 23407 SP SEPPENRADEWEG";34;20;23407;"Tischtennisplatte";;"Beton"
"20 23409 SP SPICHERNSTRASSE";34;20;23409;"Tischtennisplatte rund";;"Beton"
"20 25402 SP SCHWARZER KAMP";54;20;25402;"Tisch mit Hockern";;"Beton"
"20 25402 SP SCHWARZER KAMP";54;20;25402;"Tischtennisplatte (Bank)";;"Beton"
"20 25405 SP CHRISTOPH-BERNHARD-GRABEN (SP WESTENKAMP)";54;20;25405;"Tischtennisplatte";;"Beton"
"20 25406 SP HEROLDSTRASSE (HEIDBUSCH)";54;20;25406;"Tischtennisplatte";;"Beton"
"20 25406 SP HEROLDSTRASSE (HEIDBUSCH)";54;20;25406;"Tisch+Bank-Kombination";2019;
"20 25409 SP IM LANDSCHAFTSPARK MECKLENBECK";54;20;25409;"Tischtennisplatte rund";;"Beton"
"20 25603 SP AM BLÜTENHAIN";56;20;25603;"Tisch+Bank-Kombination";;"Holz, lackiert"
"20 25605 SP AM KÄMPKEN";56;20;25605;"Tischtennisplatte";;"Beton"
"20 25605 SP AM KÄMPKEN";56;20;25605;"Tischtennisplatte (Hügel)";;"Beton"
"20 25607 SP HAUS WIEK";56;20;25607;"Tischtennisplatte";;"Beton"
"20 29602 SP IM DAHL";96;20;29602;"Tischtennisplatte";;"Beton"
"20 29605 SP HANSES-KETTELER-STRASSE";96;20;29605;"Tischtennisplatte";;"Beton"
"20 29704 SP HÖLDERLINWEG";97;20;29704;"Tischtennisplatte";;"Beton"
"20 29705 SP MALTESERSTRASSE";97;20;29705;"Tischtennisplatte";;"Beton"
"20 29709 SP AN DER ALTEN KIRCHE";96;20;29709;"Tischtennisplatte (links)";;"Beton"
"20 29801 SP LANGE KUHLE";98;20;29801;"Tischtennisplatte";;"Beton"
"20 29804 SP ALTE FURT";98;20;29804;"Tischtennisplatte (Fahrradständer)";;"Beton"
