"Objekt";"statB";"Bez";"ObjNr";"Bezeichnung";"Baujahr";"Material"
"40 64403 OBERSTUFENHAUS MATHILDE-ANNEKE-GESAMTSCHULE, Manfred-von-Richthofen-Str.42";44;40;64403;"Tischtennisplatte (bei Kletterwand)";;"Beton"
"40 64403 OBERSTUFENHAUS MATHILDE-ANNEKE-GESAMTSCHULE, Manfred-von-Richthofen-Str.42";44;40;64403;"Tischtennisplatte (Technikraum)";;"Beton"
"40 64403 OBERSTUFENHAUS MATHILDE-ANNEKE-GESAMTSCHULE, Manfred-von-Richthofen-Str.42";44;40;64403;"Tischtennisplatte";;"Beton"
"40 64501 MAURITZ-SCHULE, Stiftsstr. 19";45;40;64501;"Tischtennisplatte";;"Beton"
"40 64501 MAURITZ-SCHULE, Stiftsstr. 19";45;40;64501;"Tischtennisplatte";;"Beton"
"40 64501 MAURITZ-SCHULE, Stiftsstr. 19";45;40;64501;"Tischtennisplatte";;"Beton"
"40 64502 PÖTTERHOEKSCHULE, PÖTTERHOOK 49";45;40;64502;"Tischtennisplatte";;"Beton"
"40 64503 ERICH-KÄSTNER-SCHULE, Pötterhoek 44";45;40;64503;"Tischtennisplatte";;"Beton"
"40 67101 PLEISTER-SCHULE";71;40;67101;"Tischtennisplatte (Basketballständer)";;"Beton"
"40 67101 PLEISTER-SCHULE";71;40;67101;"Tischtennisplatte";;"Beton"
"40 67102 MARGARETEN-SCHULE, BRENTANOWEG 18";71;40;67102;"Tischtennisplatte";;"Beton"
"40 67103 R.-VON-WEIZSÄCKER-SCHULE, LAERER LANDWEG 153";71;40;67103;"Tischtennisplatte";;"Beton"
"40 67103 R.-VON-WEIZSÄCKER-SCHULE, LAERER LANDWEG 153";71;40;67103;"Tischtennisplatte";;"Sonstige"
"40 67601 GRUNDSCHULE GELMER, Gelmerheide 3";76;40;67601;"Tischtennisplatte rund";;"Beton"
"40 67601 GRUNDSCHULE GELMER, Gelmerheide 3";76;40;67601;"Tischtennisplatte";;"Beton"
"40 67701 MATTHIAS-CLAUDIUS-SCHULE HANDORF, Drostestraße 7";77;40;67701;"Tischtennisplatte (Einfahrt)";;"Beton"
"40 67701 MATTHIAS-CLAUDIUS-SCHULE HANDORF, Drostestraße 7";77;40;67701;"Tischtennisplatte (Papierkorb)";;"Beton"
"40 67702 KARDINAL-VON-GALEN SCHULE, LUDWIG-WOLKER-STRASSE 13";77;40;67702;"Tischtennisplatte rund";;"Beton"
"40 67702 KARDINAL-VON-GALEN SCHULE, LUDWIG-WOLKER-STRASSE 13";77;40;67702;"Tischtennisplatte (rechts)";;"Beton"
"40 67702 KARDINAL-VON-GALEN SCHULE, LUDWIG-WOLKER-STRASSE 13";77;40;67702;"Tischtennisplatte (links)";;"Beton"
"40 68201 IDASCHULE, VÖRNSTE ESCH 19";82;40;68201;"Tischtennisplatte";;"Stein"
"40 68201 IDASCHULE, VÖRNSTE ESCH 19";82;40;68201;"Tischtennisplatte";;"Stein"
"40 68202 PESTALOZZISCHULE, ANTON-KNUBEL-WEG 10-12";82;40;68202;"Tischtennisplatte";;"Beton"
"40 68601 EICHENDORFF-SCHULE";86;40;68601;"Tischtennisplatte";;"Beton"
"40 68601 EICHENDORFF-SCHULE";86;40;68601;"Tischtennisplatte";;"Beton"
"40 68602 ANNETTE-VON-DROSTE-HÜLSHOFF-SCHULE ANGELM.";86;40;68602;"Tischtennisplatte";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte (Torwand)";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte (Betonstufenanlage)";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte (mitte)";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte (links)";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte";;"Beton"
"40 68701 SCHULZENTRUM WOLBECK (HS, RS, Gym.)";87;40;68701;"Tischtennisplatte (Fahrradständer)";;"Beton"
"40 68704 NIKOLAISCHULE";87;40;68704;"Tischtennisplatte";;"Beton"
"40 68704 NIKOLAISCHULE";87;40;68704;"Tischtennisplatte";;"Beton"
"40 69501 MARIEN-SCHULE HILTRUP, LODDENWEG 12";95;40;69501;"Tischtennisplatte (rechts)";;"Beton"
"40 69501 MARIEN-SCHULE HILTRUP, LODDENWEG 12";95;40;69501;"Tischtennisplatte (links)";;"Beton"
"40 87103 UNTERKUNFT WARENDORFER STR. 265, 267, 269";71;40;87103;"Tischtennisplatte";2015;"Beton"
"40 87706 JUGENEINRICHTUNG DREI EICHEN";77;40;87706;"Tischtennisplatte";;"Beton"
